level0,level1,level2,level3
Variable,Course of bipolar illness-symptoms,History of psychotic symptoms,History of psychotic features
Variable,Course of bipolar illness-symptoms,History of psychotic symptoms,History of delusions
Variable,Course of bipolar illness-symptoms,History of psychotic symptoms,History of Hallucinations
Variable,Course of bipolar illness-symptoms,History of psychotic symptoms,History of negative symptoms
Variable,Course of bipolar illness-episodes,First episode features,Psychotic features at first eps
Variable,Course of bipolar illness-episodes,First episode features,First eps polarity
Variable,Course of bipolar illness-episodes,First episode features,Significant life event at first eps
Variable,Course of bipolar illness-episodes,Psychotic episode course,Number of psychotic eps
Variable,Course of bipolar illness-episodes,Psychotic episode course,Age at first psychotic eps
Variable,Course of bipolar illness-episodes,Psychotic episode course,Age at last psychotic eps
Variable,Course of bipolar illness-episodes,Depressive episode course,Number of depressive eps
Variable,Course of bipolar illness-episodes,Depressive episode course,Age of first depressive eps
Variable,Course of bipolar illness-episodes,Depressive episode course,Age at last depressive eps
Variable,Course of bipolar illness-episodes,Depressive episode course,History of psychotic depression
Variable,Course of bipolar illness-episodes,Depressive episode course,History of depression with atypical symptoms
Variable,Course of bipolar illness-episodes,Manic episode course,Number of manic eps
Variable,Course of bipolar illness-episodes,Manic episode course,Age at first manic eps
Variable,Course of bipolar illness-episodes,Manic episode course,Age at last manic eps
Variable,Course of bipolar illness-episodes,Hypomanic episode course,History of medication induced mania & hypomania eps
Variable,Course of bipolar illness-episodes,Hypomanic episode course,Number of hypomanic eps
Variable,Course of bipolar illness-episodes,Hypomanic episode course,Age at first hypomanic eps
Variable,Course of bipolar illness-episodes,Hypomanic episode course,Age at last hypomanic eps
Variable,Course of bipolar illness-episodes,Mixed episode course,Number of mixed eps
Variable,Course of bipolar illness-episodes,Mixed episode course,Age at first mixed eps
Variable,Course of bipolar illness-episodes,Mixed episode course,Age at last mixed episode
Variable,Course of bipolar illness-episodes,General episodic features,Total Number of affective episode (life)
Variable,Course of bipolar illness-episodes,General episodic features,Length of yrs between 1st & 2nd affective eps
Variable,Course of bipolar illness-episodes,General episodic features,Seasonality
Variable,Course of bipolar illness-episodes,General episodic features,Lifetime rapid cycling
Variable,Course of bipolar illness-episodes,General episodic features,Catatonia
Variable,Course of bipolar illness-episodes,General episodic features,Melancholia
Variable,Course of bipolar illness-episodes,General episodic features,History of postpartum eps
Variable,Course of non-bipolar psychiatric illness,History of non-BD diagnosis,Affective disorder
Variable,Course of non-bipolar psychiatric illness,History of non-BD diagnosis,Anxiety disorder
Variable,Course of non-bipolar psychiatric illness,History of non-BD diagnosis,Substance abuse & dependence
Variable,Course of treatment,Age at first psychiatric treatment,
Variable,Course of treatment,Age at first lithium use,
Variable,Course of treatment,History of ECT,
Variable,Course of treatment,Treatment-resistant,
Variable,Trauma stress,Physical abuse,Current & Recent physical abuse
Variable,Trauma stress,Physical abuse,Lifetime physical abuse
Variable,Trauma stress,Sexual abuse,Current & Recent sexual abuse
Variable,Trauma stress,Sexual abuse,Lifetime sexual abuse
Variable,Trauma stress,Stress,
Variable,Positive psychological factors,Social support,
Variable,Positive psychological factors,Resilience,
Variable,Positive psychological factors,Happiness,
Variable,Positive psychological factors,Optimism,
Variable,Positive psychological factors,Empathy / Compassion,
Variable,Positive psychological factors,Life Satisfaction,
Variable,Ecological Momentary Assessment,Mobile mood / affect ratings,
Variable,Ecological Momentary Assessment,Mobile self-report of sleep,
Variable,Ecological Momentary Assessment,Mobile self-report of activities,
Variable,Family history,Psychiatric disorders & Mental illness,
Variable,Family history,Suicide,
Variable,Family history,Substance & alcohol abuse & dependence,
Variable,Clinical Trial-specific,Randomization group,
Variable,Clinical Trial-specific,Clinician guess as to study drug & placebo,
Variable,Clinical Trial-specific,Participant guess as to study drug &  placebo,
Variable,Clinical Trial-specific,Adverse effects,
Variable,Clinical Trial-specific,Reason for terminating study,
Variable,Miscellaneous,,
